url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,lat,long
https://amarillo.craigslist.org/cto/d/2016-hyundai-sonata/6716321538.html,amarillo,9000,2016,hyundai,sonata,,"4 cylinders",gas,,clean,automatic,,,,,,https://images.craigslist.org/00m0m_byafY0KWzwH_600x450.jpg,33.633361,-101.923374
https://amarillo.craigslist.org/cto/d/2013-kia-forte/6716335123.html,amarillo,5500,2013,kia,"forte ex",,"4 cylinders",gas,,clean,automatic,,,,sedan,,https://images.craigslist.org/00h0h_akxTQj9CCEr_600x450.jpg,33.633361,-101.923374
https://amarillo.craigslist.org/cto/d/2007-gmc-sierra-4x4/6708519010.html,amarillo,8500,2007,gmc,"1500 sierra",,,gas,,salvage,automatic,,,,,,https://images.craigslist.org/00f0f_cxFsWNlocyh_600x450.jpg,35.2703,-101.943
https://amarillo.craigslist.org/ctd/d/2014-nissan-murano-sl-skuewsuv/6717784702.html,amarillo,19902,2014,nissan,murano,,"6 cylinders",gas,29372,clean,automatic,JN8AZ1MU7EW420621,fwd,mid-size,SUV,grey,https://images.craigslist.org/00101_93hn1KXQOUI_600x450.jpg,35.1751,-101.7976
https://amarillo.craigslist.org/cto/d/2000-chevy-silverado/6714529272.html,amarillo,2700,2000,chevrolet,silverado,fair,"8 cylinders",gas,195000,clean,automatic,,rwd,full-size,truck,grey,https://images.craigslist.org/00707_72aDSjldv9M_600x450.jpg,34.9772,-101.9247
https://amarillo.craigslist.org/cto/d/2008-ford-explorer-great-car/6716075109.html,amarillo,2000,2008,ford,explorer,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00D0D_JNflTjbUqE_600x450.jpg,35.538,-100.9579
https://amarillo.craigslist.org/cto/d/2009-chevy-crew-cab-4x/6713360996.html,amarillo,1,2009,chevrolet,1500,excellent,"8 cylinders",gas,157300,clean,automatic,,4wd,full-size,pickup,silver,https://images.craigslist.org/00E0E_zYoFyy6hHl_600x450.jpg,33.5159,-101.9344
https://amarillo.craigslist.org/ctd/d/2014-nissan-titan-pro-4x/6717721203.html,amarillo,29902,2014,nissan,titan,,"8 cylinders",gas,39546,clean,automatic,1N6BA0ECXEN509495,4wd,full-size,pickup,custom,https://images.craigslist.org/00H0H_jvzJbi9hcfE_600x450.jpg,35.1751,-101.7976
https://amarillo.craigslist.org/cto/d/2001-jeep-grand-cherokee/6717717657.html,amarillo,2500,2001,jeep,"cherokee laredo",,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00J0J_3Mv85i2kAbU_600x450.jpg,35.2309,-101.806
https://amarillo.craigslist.org/ctd/d/2013-volkswagen-gti-autobahn/6717716711.html,amarillo,13901,2013,volkswagen,gti,,"4 cylinders",gas,73085,clean,automatic,WVWHV7AJ7DW084583,fwd,,hatchback,white,https://images.craigslist.org/00808_khVX6nnWifT_600x450.jpg,35.1751,-101.7976
https://amarillo.craigslist.org/cto/d/2003-bmw-330i-sedan/6717692113.html,amarillo,3200,2003,bmw,330i,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00g0g_bLGRdr47v5w_600x450.jpg,35.170346,-101.815882
https://amarillo.craigslist.org/cto/d/2002-trailblazer/6717615754.html,amarillo,2500,2002,chevy,trailblazer,,,gas,,clean,automatic,,,,,black,https://images.craigslist.org/00N0N_1dumFTucDW1_600x450.jpg,35.3808,-101.4304
https://amarillo.craigslist.org/cto/d/2008-dodge-ram/6713311229.html,amarillo,5450,2008,ram,"1500 quad cab",good,,gas,,rebuilt,automatic,,,,pickup,,https://images.craigslist.org/00q0q_iLjXBNCnIag_600x450.jpg,35.221162,-101.791784
https://amarillo.craigslist.org/cto/d/2004-grand-jeep-cherokee/6717548877.html,amarillo,3500,2004,jeep,cherokee,excellent,"8 cylinders",gas,150000,clean,automatic,,rwd,full-size,SUV,blue,https://images.craigslist.org/00101_euLnFlrRPgR_600x450.jpg,35.1663,-101.8868
https://amarillo.craigslist.org/cto/d/00-toyota-tundra/6717441997.html,amarillo,2300,2000,toyota,tundra,,"8 cylinders",gas,,clean,automatic,,rwd,,,,https://images.craigslist.org/00Y0Y_emATPqsSH0P_600x450.jpg,35.2309,-101.806
https://amarillo.craigslist.org/cto/d/1988-ford-ranger/6717515704.html,amarillo,1500,1988,ford,"ranger xlt",good,"4 cylinders",gas,,clean,manual,,rwd,,truck,white,https://images.craigslist.org/00e0e_hH7VesQjjjE_600x450.jpg,35.1939,-101.7975
https://amarillo.craigslist.org/cto/d/2015-chevrolet-silverado-z71/6717501749.html,amarillo,19000,2015,chevrolet,"1500 silverado",good,"8 cylinders",gas,,clean,automatic,,4wd,full-size,truck,white,https://images.craigslist.org/00f0f_cYMIKR13hs2_600x450.jpg,29.7594,-95.3594
https://amarillo.craigslist.org/cto/d/2013-f150-ecoboost/6717500154.html,amarillo,18500,2013,ford,"","like new","6 cylinders",gas,59000,clean,automatic,,rwd,full-size,truck,red,https://images.craigslist.org/01616_iicDfAMAlM_600x450.jpg,35.538,-100.9579
https://amarillo.craigslist.org/cto/d/2012-lexus-gx460-4xmiles/6702981088.html,amarillo,21900,2012,lexus,gx460,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00S0S_iN6A6CU1foq_600x450.jpg,35.1663,-101.8868
https://pueblo.craigslist.org/cto/d/2006-dodge-ram-1500-v8-slt/6718625589.html,pueblo,6700,2006,ram,"1500 quad cab",good,"8 cylinders",gas,180000,clean,automatic,,rwd,full-size,truck,blue,https://images.craigslist.org/01010_iRzawBkrzaA_600x450.jpg,38.387,-104.7792
https://pueblo.craigslist.org/cto/d/2012-jeep-grand-cherokee/6710211605.html,pueblo,14900,2012,jeep,"grand cherokee laredo",excellent,"6 cylinders",gas,106540,clean,automatic,,4wd,mid-size,SUV,white,https://images.craigslist.org/00y0y_kRlXcQ0BaAQ_600x450.jpg,42.134094,-123.664943
https://pueblo.craigslist.org/cto/d/350/6718623104.html,pueblo,11000,1997,ford,f-350,,"8 cylinders",diesel,288000,clean,automatic,,4wd,,,,https://images.craigslist.org/00K0K_7tKBSxUUoYJ_600x450.jpg,37.164242,-106.278326
https://pueblo.craigslist.org/cto/d/chevrolet-cruze/6715695054.html,pueblo,12999,2014,chevrolet,cruze,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00e0e_3YynppeLby5_600x450.jpg,35.742359,-105.841044
https://pueblo.craigslist.org/cto/d/2004-ford-mustang-40th/6718586941.html,pueblo,3800,2004,ford,"",good,"6 cylinders",gas,,clean,manual,,rwd,mid-size,coupe,black,https://images.craigslist.org/00s0s_aZBk0oxwaJV_600x450.jpg,38.256302,-104.63703
https://pueblo.craigslist.org/cto/d/81-cutlass/6698737582.html,pueblo,1000,1981,,Oldsmobile,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00b0b_aNtTYJmN5cx_600x450.jpg,38.2447,-104.5318
https://pueblo.craigslist.org/cto/d/2001-audi-a4-quattro/6712206045.html,pueblo,2500,2001,audi,"a4 1.8t quattro",excellent,"4 cylinders",gas,187,clean,manual,,4wd,compact,sedan,silver,https://images.craigslist.org/00w0w_kurqZuAk2fj_600x450.jpg,38.358361,-104.267696
https://pueblo.craigslist.org/cto/d/1990-dodge-ram-3500-cummins/6693577938.html,pueblo,7500,1990,ram,"3500 cummims","like new","6 cylinders",diesel,137,clean,automatic,,rwd,full-size,truck,grey,https://images.craigslist.org/00606_kyH3VK679Bj_600x450.jpg,38.2843,-104.6234
